                                                                                ECG                                                                             25.01.2516.42.59200 
Timestamp,Sample
1737823693.105686,-530
1737823693.110686,-306
1737823693.115686,-160
1737823693.1211088,-100
1737823693.126109,-87
1737823693.1311088,-78
1737823693.1361089,-56
1737823693.1411088,-45
1737823693.1461089,-64
1737823693.1511087,-90
1737823693.1561089,-93
1737823693.1611087,-74
1737823693.1661088,-58
1737823693.1711087,-65
1737823693.1761088,-83
1737823693.1811087,-96
1737823693.1861088,-87
1737823693.1911087,-62
1737823693.1961088,-49
1737823693.2015316,-53
1737823693.2065315,-64
1737823693.2115316,-71
1737823693.2165315,-71
1737823693.2215316,-70
1737823693.2265315,-70
1737823693.2315316,-82
1737823693.2365315,-110
1737823693.2415316,-107
1737823693.2465315,-60
1737823693.2515316,-12
1737823693.2565317,-4
1737823693.2615316,-23
1737823693.2665317,-44
1737823693.2715316,-59
1737823693.2765317,-68
1737823693.2819543,-59
1737823693.2869544,-24
1737823693.2919545,7
1737823693.2969544,-5
1737823693.3019545,-53
1737823693.3069544,-100
1737823693.3119545,-107
1737823693.3169544,-89
1737823693.3219545,-71
1737823693.3269544,-70
1737823693.3319545,-74
1737823693.3369544,-82
1737823693.3419545,-104
1737823693.3469543,-136
1737823693.3519545,-158
1737823693.3569543,-153
1737823693.3623772,-134
1737823693.3673773,-131
1737823693.3723772,-150
1737823693.3773773,-170
1737823693.3823771,-174
1737823693.3873773,-154
1737823693.3923771,-127
1737823693.3973773,-110
1737823693.4023771,-112
1737823693.4073772,-119
1737823693.412377,-122
1737823693.4173772,-113
1737823693.422377,-97
1737823693.4273772,-77
1737823693.432377,-69
1737823693.4373772,-66
1737823693.4428,-55
1737823693.4478,-41
1737823693.4528,-55
1737823693.4578,-109
1737823693.4628,-155
1737823693.4678,-141
1737823693.4728,-86
1737823693.4778,-52
1737823693.4828,-59
1737823693.4878,-74
1737823693.4928,-75
1737823693.4978,-83
1737823693.5028,-108
1737823693.5078,-119
1737823693.5128,-107
1737823693.5178,-85
1737823693.5232227,-87
1737823693.5282228,-114
1737823693.533223,-119
1737823693.5382228,-93
1737823693.543223,-61
1737823693.5482228,-62
1737823693.553223,-106
1737823693.5582228,-140
1737823693.563223,-127
1737823693.5682228,-86
1737823693.5732229,-74
1737823693.5782228,-100
1737823693.5832229,-132
1737823693.5882227,-133
1737823693.5932229,-101
1737823693.5982227,-58
1737823693.6036456,-50
1737823693.6086457,-78
1737823693.6136456,-111
1737823693.6186457,-115
1737823693.6236455,-81
1737823693.6286457,-34
1737823693.6336455,0
1737823693.6386456,-3
1737823693.6436455,-48
1737823693.6486456,-109
1737823693.6536455,-126
1737823693.6586456,-101
1737823693.6636455,-76
1737823693.6686456,-103
1737823693.6736455,-157
1737823693.6786456,-183
1737823693.6840684,-161
1737823693.6890683,-128
1737823693.6940684,-111
1737823693.6990683,-110
1737823693.7040684,-113
1737823693.7090683,-112
1737823693.7140684,-106
1737823693.7190683,-105
1737823693.7240684,-100
1737823693.7290685,-91
1737823693.7340684,-91
1737823693.7390685,-83
1737823693.7440684,-35
1737823693.7490685,145
1737823693.7540684,621
1737823693.7590685,1401
1737823693.764491,2029
1737823693.7694912,1824
1737823693.7744913,619
1737823693.7794912,-907
1737823693.7844913,-1859
1737823693.7894912,-1945
1737823693.7944913,-1546
1737823693.7994912,-1106
1737823693.8044913,-754
1737823693.8094912,-447
1737823693.8144913,-207
1737823693.8194911,-71
1737823693.8244913,-35
1737823693.8294911,-56
1737823693.8344913,-77
1737823693.8394911,-69
1737823693.844914,-57
1737823693.849914,-67
1737823693.854914,-85
1737823693.859914,-74
1737823693.864914,-40
1737823693.869914,-20
1737823693.874914,-29
1737823693.879914,-44
1737823693.884914,-55
1737823693.889914,-65
1737823693.894914,-89
1737823693.899914,-126
1737823693.904914,-125
1737823693.909914,-74
1737823693.914914,-19
1737823693.919914,-25
1737823693.9253368,-77
1737823693.9303367,-97
1737823693.9353368,-63
1737823693.9403367,-39
1737823693.9453368,-62
1737823693.9503367,-102
1737823693.9553368,-95
1737823693.9603367,-49
1737823693.9653368,-16
1737823693.970337,-20
1737823693.9753368,-32
1737823693.980337,-36
1737823693.9853368,-27
1737823693.990337,-23
1737823693.9953368,-37
1737823694.000337,-72
1737823694.0057597,-103
1737823694.0107596,-107
1737823694.0157597,-76
1737823694.0207596,-44
1737823694.0257597,-36
1737823694.0307596,-42
